name,price,image
"Margherita Pizza",8.99,"https://example.com/images/margherita_pizza.jpg"
"Cheeseburger",5.49,"https://example.com/images/cheeseburger.jpg"
"Caesar Salad",6.99,"https://example.com/images/caesar_salad.jpg"
"Spaghetti Bolognese",10.99,"https://example.com/images/spaghetti_bolognese.jpg"
"Chicken Tacos",7.99,"https://example.com/images/chicken_tacos.jpg"
"Vegan Burrito",6.49,"https://example.com/images/vegan_burrito.jpg"
"Pepperoni Pizza",9.49,"https://example.com/images/pepperoni_pizza.jpg"
"Sushi Roll",12.99,"https://example.com/images/sushi_roll.jpg"
"Steak Sandwich",11.99,"https://example.com/images/steak_sandwich.jpg"
"Fried Rice",7.49,"https://example.com/images/fried_rice.jpg"
"Pad Thai",8.49,"https://example.com/images/pad_thai.jpg"
"Chicken Wings",5.99,"https://example.com/images/chicken_wings.jpg"
